Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
LRPL Taylor,2006-2021,233,217,39,8581,181*,48.2,10287,83.41,21,51,9,712,146
SP Fleming,1994-2007,279,268,21,8007,134*,32.41,11214,71.4,8,49,17,822,63
NJ Astle,1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86
MJ Guptill,2009-2021,186,183,19,6927,237*,42.23,7896,87.72,16,37,15,702,181
KS Williamson,2010-2020,151,144,14,6173,148,47.48,7551,81.75,13,39,5,563,49
BB McCullum,2002-2016,260,228,28,6083,166,30.41,6312,96.37,5,32,20,577,200
CL Cairns,1991-2006,214,192,25,4881,115,29.22,5827,83.76,4,25,9,339,151
CD McMillan,1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,373,84
MD Crowe,1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,378,29
SB Styris,1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,353,68
CZ Harris,1990-2004,250,213,62,4379,130,29,6583,66.51,1,16,12,275,43
JG Wright,1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9,370+,15+
AC Parore,1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,169,36
KR Rutherford,1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6,223,17
TWM Latham,2012-2021,102,94,11,2824,137,34.02,3373,83.72,5,16,7,239,36
AH Jones,1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,199,8
RG Twose,1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,240,33
JDP Oram,2001-2012,160,116,15,2434,101*,24.09,2810,86.61,1,13,8,182,81
L Vincent,2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,222,37
MJ Greatbatch,1988-1996,84,83,5,2206,111,28.28,3099,71.18,2,13,7,177,38
DL Vettori,1997-2015,291,183,55,2201,83,17.19,2657,82.83,0,4,22,173,15
GD Elliott,2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,151,28
JV Coney,1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,128,12
BA Edgar,1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,126+,3+
RJ Hadlee,1973-1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4,123+,25+
BA Young,1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,164,2
GM Turner,1973-1983,41,40,6,1598,171*,47,2348,68.05,3,9,1,156+,7+
JJ Crowe,1983-1990,75,71,12,1518,88*,25.72,2456,61.8,0,7,6,110,12
HJH Marshall,2003-2007,66,62,9,1454,101*,27.43,1990,73.06,1,12,3,98,8
HM Nicholls,2015-2021,52,50,11,1409,124*,36.12,1717,82.06,1,11,5,131,10
GP Howarth,1975-1985,70,65,5,1384,76,23.06,2301,60.14,0,6,1,116+,3+
JD Ryder,2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5,152,38
PG Fulton,2004-2009,49,46,5,1334,112,32.53,1833,72.77,1,8,2,111,20
L Ronchi,2013-2017,81,66,9,1321,170*,23.17,1183,111.66,1,3,7,143,37
JDS Neesham,2013-2021,66,56,10,1320,97*,28.69,1352,97.63,0,6,2,117,30
MS Sinclair,2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8,112,5
C Munro,2013-2019,57,53,2,1271,87,24.92,1214,104.69,0,8,7,138,36
JEC Franklin,2001-2013,110,80,27,1270,98*,23.96,1651,76.92,0,4,5,97,17
CJ Anderson,2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4,86,55
NL McCullum,2009-2015,84,62,11,1070,65,20.98,1220,87.7,0,4,3,69,33
IDS Smith,1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7,93+,10+
KD Mills,2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8,76,38
JM How,2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3,117,7
BL Cairns,1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6,70+,41+
MJ Horne,1997-2002,50,48,0,980,74,20.41,1515,64.68,0,5,3,99,5
SA Thomson,1990-1996,56,52,10,964,83,22.95,1427,67.55,0,5,2,63,8
NT Broom,2009-2017,39,39,4,943,109*,26.94,1161,81.22,1,5,7,78,12
CM Spearman,1995-2001,51,50,0,936,86,18.72,1202,77.87,0,5,6,123,9
MJ Santner,2015-2021,75,57,23,927,67,27.26,1047,88.53,0,2,3,64,27
CJ Nevin,2000-2003,37,36,0,732,74,20.33,1000,73.2,0,4,4,82,3
